individual_id,filename,captured_at,lat,lon,zone,image_url
WT-153,000105.jpg,2026-02-12 10:01:10,44.779076,135.256238,Olga Reserve,ml/datasets/processed/WT-153/000105.jpg
WT-153,000187.jpg,2026-02-14 08:07:59,44.673878,136.054805,Sikhote-Alin North,ml/datasets/processed/WT-153/000187.jpg
WT-153,000201.jpg,2026-02-17 04:59:21,45.704037,136.403113,Olga Reserve,ml/datasets/processed/WT-153/000201.jpg
WT-153,000269.jpg,2026-02-19 22:27:58,45.33904,136.123023,Sikhote-Alin South,ml/datasets/processed/WT-153/000269.jpg
WT-153,000396.jpg,2026-02-22 09:51:13,46.111639,136.745348,Sikhote-Alin South,ml/datasets/processed/WT-153/000396.jpg
WT-153,000508.jpg,2026-02-24 18:45:19,45.055743,135.538284,Sikhote-Alin South,ml/datasets/processed/WT-153/000508.jpg
WT-153,000566.jpg,2026-02-27 18:35:44,45.217959,135.859889,Sikhote-Alin South,ml/datasets/processed/WT-153/000566.jpg
WT-153,000606.jpg,2026-03-02 15:07:17,46.114257,136.824329,Olga Reserve,ml/datasets/processed/WT-153/000606.jpg
WT-153,000612.jpg,2026-03-06 04:41:29,44.6576,135.732946,Olga Reserve,ml/datasets/processed/WT-153/000612.jpg
WT-153,000627.jpg,2026-03-09 18:12:10,46.270903,135.904088,Sikhote-Alin Central,ml/datasets/processed/WT-153/000627.jpg
WT-153,000656.jpg,2026-03-12 03:26:30,44.955797,135.72347,Sikhote-Alin North,ml/datasets/processed/WT-153/000656.jpg
WT-153,000678.jpg,2026-03-14 09:11:31,46.210635,137.166209,Bikin Valley,ml/datasets/processed/WT-153/000678.jpg
WT-153,000718.jpg,2026-03-16 15:42:18,45.229664,135.925452,Sikhote-Alin Central,ml/datasets/processed/WT-153/000718.jpg
WT-153,000737.jpg,2026-03-20 01:53:57,45.84035,136.754551,Sikhote-Alin North,ml/datasets/processed/WT-153/000737.jpg
WT-153,000753.jpg,2026-03-22 04:37:12,45.958254,135.408506,Bikin Valley,ml/datasets/processed/WT-153/000753.jpg
WT-153,000860.jpg,2026-03-24 08:47:24,45.039896,137.313478,Olga Reserve,ml/datasets/processed/WT-153/000860.jpg
WT-153,000907.jpg,2026-03-26 22:18:01,46.036627,135.139845,Sikhote-Alin North,ml/datasets/processed/WT-153/000907.jpg
WT-153,000925.jpg,2026-03-29 23:35:34,46.110092,136.002912,Sikhote-Alin North,ml/datasets/processed/WT-153/000925.jpg
WT-153,000927.jpg,2026-04-01 20:02:16,46.252735,135.786695,Bikin Valley,ml/datasets/processed/WT-153/000927.jpg
WT-153,000938.jpg,2026-04-05 21:43:30,45.291264,137.286369,Bikin Valley,ml/datasets/processed/WT-153/000938.jpg
WT-153,000951.jpg,2026-04-08 14:09:25,45.989978,136.347443,Olga Reserve,ml/datasets/processed/WT-153/000951.jpg
WT-153,001044.jpg,2026-04-11 08:02:56,45.356868,136.458832,Sikhote-Alin South,ml/datasets/processed/WT-153/001044.jpg
WT-153,001155.jpg,2026-04-14 05:53:30,45.519053,135.227274,Sikhote-Alin North,ml/datasets/processed/WT-153/001155.jpg
WT-153,001223.jpg,2026-04-19 01:43:48,46.222206,135.382103,Sikhote-Alin Central,ml/datasets/processed/WT-153/001223.jpg
WT-153,001263.jpg,2026-04-21 17:00:57,44.627055,135.954048,Bikin Valley,ml/datasets/processed/WT-153/001263.jpg
WT-153,001300.jpg,2026-04-23 10:43:11,45.558229,137.427696,Sikhote-Alin North,ml/datasets/processed/WT-153/001300.jpg
WT-153,001323.jpg,2026-04-25 17:53:33,46.269577,136.877194,Sikhote-Alin South,ml/datasets/processed/WT-153/001323.jpg
